IP Address,Country,Region,Geo-Locations,PO
111.119.40.0/21,NP,NP-P5,NDS-KTM-Nepal,44600
111.119.40.0/24,NP,NP-P5,Bhairahawa-Nepal,44600
111.119.41.0/24,NP,NP-P5,Butwal-Nepal,44600
111.119.42.0/24,NP,NP-P4,Pokhara-Nepal,44600
111.119.43.0/24,NP,NP-P5,Kohalpur-Nepal,44600
"111.119.44.0/24	",NP,NP-P3,Kathmandu-Nepal,44600
"111.119.45.0/24	",NP,NP-P3,Kathmandu-Nepal,44600
"111.119.46.0/24	",NP,NP-P2,Birgunj-Nepal,44600
"111.119.47.0/24	",NP,NP-P2,Dhalkebar-Biratnagar-Dubahi-Nepal,44600
103.155.68.0/23,NP,NP-P3,Kathmandu-Nepal,44600
"103.155.68.0/24	",NP,NP-P3,NDS-CORE-KTM-Nepal,44600
"103.155.68.0/24	",NP,NP-P2,NDS-p2p-KTM-Nepal,44600
103.94.252.0/22,NP,NP-P3,WebSurfer-KTM-Nepal,44600
103.94.252.0/24,NP,NP-P5,Websurfer-Dhalkebar-Nepal,44600
103.94.254.0/24,NP,NP-P3,Websurfer-Butwal-Nepal,44600
